iter	RMSE
1291	0.1673806065
1292	0.1673660607
1293	0.1673548023
1294	0.1673464463
1295	0.1673386069
1296	0.1673158511
1297	0.1672964634
1298	0.1672824655
1299	0.1672693575
1300	0.1672423498
1301	0.1672283203
1302	0.1672188219
1303	0.167202427
1304	0.1671794735
1305	0.1671647424
1306	0.1671284524
1307	0.1671161936
1308	0.1671097639
1309	0.1671002438
1310	0.1670899635
1311	0.1670756063
1312	0.1670641638
1313	0.1670463589
1314	0.1670303124
1315	0.1670177883
1316	0.1669977766
1317	0.166994483
1318	0.1669837857
1319	0.166965175
1320	0.166936223
1321	0.1669186122
1322	0.1668947998
1323	0.1668895758
1324	0.1668806467
1325	0.1668605084
1326	0.1668388492
1327	0.1668325228
1328	0.1668118721
1329	0.1668015432
1330	0.16679859
1331	0.1667799745
1332	0.1667776446
1333	0.1667544303
1334	0.1667456164
1335	0.1667385725
1336	0.1667202008
1337	0.1667161326
1338	0.1666971564
1339	0.1666898793
1340	0.1666430513
1341	0.1666184169
1342	0.166603538
1343	0.1665871824
1344	0.1665588664
1345	0.1665353743
1346	0.1665030359
1347	0.1664924648
1348	0.1664814733
1349	0.1664793581
1350	0.1664652402
1351	0.1664567165
1352	0.1664485006
1353	0.1664259955
1354	0.1664138792
1355	0.1663899357
1356	0.1663810942
1357	0.1663733619
1358	0.1663598243
1359	0.166352552
1360	0.1663442753
1361	0.1663340046
1362	0.1663195029
1363	0.1662916461
1364	0.16627495
1365	0.1662552388
1366	0.1662204248
1367	0.166207197
1368	0.1661981838
1369	0.1661881431
1370	0.1661609018
1371	0.1661509625
1372	0.1661427601
1373	0.1661274454
1374	0.1661111189
1375	0.1660930778
1376	0.1660848419
1377	0.1660736414
1378	0.1660597003
1379	0.1660471104
1380	0.1660390999
1381	0.1660253869
1382	0.1659986034
1383	0.1659928815
1384	0.1659642007
1385	0.1659547339
1386	0.1659380622
1387	0.1659191798
1388	0.1659168272
1389	0.1659026385
1390	0.1658815804
1391	0.1658733189
1392	0.1658597562
1393	0.1658470645
1394	0.1658374971
1395	0.1658244234
1396	0.1658036299
1397	0.1657886776
1398	0.1657698811
1399	0.1657666299
1400	0.1657549147
1401	0.1657494502
1402	0.1657372185
1403	0.1657272362
1404	0.1657044665
1405	0.1656737664
1406	0.1656562193
1407	0.1656332048
1408	0.1656142996
1409	0.1655911719
1410	0.1655769837
1411	0.1655629313
1412	0.1655502154
1413	0.1655363339
1414	0.1655148751
1415	0.165509068
1416	0.1655012863
